央视频道,#genre#
东森戏剧,P2p://147.135.39.171:9906/5eb29b86000c614d0f44a8b302d67a7e.ts
东森电影,P2p://147.135.39.171:9906/5defe13e0007d9d56eba3f090a5f5661.ts
东森超视,P2p://147.135.39.171:9906/5e7cf271000168dd3da7beac2d47191e.ts
东森财经新闻,P2p://147.135.39.171:9906/5eec88f90004b79cf18c98952f812d55.ts
迪士尼频道(粤语),P2p://147.135.39.171:9906/5e98a1410004fff3a9cad3045ac83cb9.ts
迪士尼频道,P2p://147.135.39.171:9906/5dea93920003218e5a02c4ca21f02f09.ts
大爱2台,P2p://147.135.39.171:9906/5ee385f4000c2291ce58bd5d3ac82d3f.ts
大爱,P2p://147.135.39.171:9906/5e6003e8000acb9e529f929c58ca20eb.ts
朝日放送,P2p://147.135.39.171:9906/5f0a0d8e0008c06164dac4be170e7a3a.ts
博斯运动,P2p://147.135.39.171:9906/5defdab60006b85e6ea0bb7b06aa7d1f.ts
博斯无限,P2p://147.135.39.171:9906/5defdab600015d2f6ea0ba230ef664fe.ts
博斯网球,P2p://147.135.39.171:9906/5defe13d0008ad4b6eba3b603e5d1ebb.ts
博斯高球,P2p://147.135.39.171:9906/5defe13d000eb2006eba3ce647e056da.ts
八大综合台,P2p://147.135.39.171:9906/5e9e749a000d3deac08c7af061bf4966.ts
八大娱乐台,P2p://147.135.39.171:9906/5e9e749b00099094c08c7dde5ba80b06.ts
八大戏剧台,P2p://147.135.39.171:9906/5e9e749a0007249ec08c795a648451d4.ts
八大第一台,P2p://147.135.39.171:9906/5e9e749b00040aaac08c7c7774062e4f.ts
澳亚卫视,P2p://147.135.39.171:9906/5f5f2acf000683923307082c4d59188d.ts
澳门卫视,P2p://147.135.39.171:9906/5f5f266400058adc32f5c5f52daa336c.ts
澳门莲花,P2p://147.135.39.171:9906/5eb29ebb000185ac0f512ced64dc1bd4.ts
澳门-Macau,P2p://147.135.39.171:9906/5f5f2acf000c900e330709b24b692ab0.ts
爱奇艺,P2p://147.135.39.171:9906/5e57755e00054af53132b22041d007fa.ts
爱尔达体育3台,P2p://147.135.39.171:9906/5e7cf98d000729c73dc38592441f1b5a.ts
爱尔达体育2台,P2p://147.135.39.171:9906/5e7cf264000a88743da78e456d1b6180.ts
爱尔达体育1台,P2p://147.135.39.171:9906/5e7cf98c00060e963dc3815c316636de.ts
ディスカバリーチャンネル,P2p://147.135.39.171:9906/5f0a0fea000e564264e3fd856b3a5d97.ts
スカイ?A sports＋,P2p://147.135.39.171:9906/5f0a0fed00096ed664e4080534846fa3.ts
サンテレビ,P2p://147.135.39.171:9906/5f0a0d8e0001d63964dac2f952584b73.ts
ゴルフネットワークHD,P2p://147.135.39.171:9906/5f0a0fec000b349364e4048a757b3a4d.ts
Z频道,P2p://147.135.39.171:9906/5e9b4b1200093ac2b4323ea63695594b.ts
ZeeTV,P2p://147.135.39.171:9906/5ea1e5fe000856dccdff6848483f5cca.ts
Zee Yuva,P2p://147.135.39.171:9906/5ea1e5fe0002b19ccdff66e05a02389a.ts
Zee Tamil,P2p://147.135.39.171:9906/5ea1e2f3000aef2acdf385fc1cd845f2.ts
Zee Nung,P2p://147.135.39.171:9906/5eab1ad4000b6559f1f5df52241d7975.ts
Zee News,P2p://147.135.39.171:9906/5ea1e5fe000dadc6cdff69af54d94842.ts
Zee Marathi,P2p://147.135.39.171:9906/5ea1e5ff0008d265cdff6c4f0dae2324.ts
Zee Cinema HD,P2p://147.135.39.171:9906/5ea1e5ff000383c3cdff6af733c90a84.ts
Zee Bollywood,P2p://147.135.39.171:9906/5ea1e5ff000d74fdcdff6d881211672c.ts
YTN SCIENCE,P2p://147.135.39.171:9906/5e9e72fe000c276cc08631424b0466d3.ts
YTN,P2p://147.135.39.171:9906/5f25734d000324735191c05571065721.ts
WWE,P2p://147.135.39.171:9906/5e9e8306000a3ed5c0c4d0050d315c34.ts
WOWOWシネマ,P2p://147.135.39.171:9906/5f8e8acd00037789426458d160766981.ts
Workpoint TV,P2p://147.135.39.171:9906/5eab1909000c228af1eede892d3050ab.ts
WARNA,P2p://147.135.39.171:9906/5e70639e000f0e3b0c99cf216c5913ce.ts
VTV7,P2p://147.135.39.171:9906/5eb9775c000f25f12a0f771259066bf7.ts
VTV6,P2p://147.135.39.171:9906/5eb9775d000503cb2a0f785a5e121138.ts
VTV5,P2p://147.135.39.171:9906/5eb9775d0009f0f42a0f79a20dd9201b.ts
VTV4,P2p://147.135.39.171:9906/5eb9775d000ee5db2a0f7adb47e74d77.ts
VTV2,P2p://147.135.39.171:9906/5eb9775e0005870e2a0f7c62491f681a.ts
VTV1,P2p://147.135.39.171:9906/5eb9775e0006d00b2a0f7cbf730a7b2c.ts
Voice TV,P2p://147.135.39.171:9906/5eab1ad400028e91f1f5dd1053d34ab3.ts
ViuTVsix,P2p://147.135.39.171:9906/5d9a2e7c0000af799cc0d74673341867.ts
ViuTV,P2p://147.135.39.171:9906/5d9a2e7b000d28609cc0d68b68a05dd1.ts
Vasantham TV,P2p://147.135.39.171:9906/5ea53b31000978a0db044a1d66cb6b06.ts
tvN Movies,P2p://147.135.39.171:9906/5f4fbf460001348ef6cad16722e87041.ts
TVN,P2p://147.135.39.171:9906/5f25734d0009e72b5191c20a0d235030.ts
TVIQ,P2p://147.135.39.171:9906/5f4fccf300005701f7003cf105684ec1.ts
TVB星河,P2p://147.135.39.171:9906/5ea53a9a000d39fddb01fd3f19aa567e.ts
TVBS新闻,P2p://147.135.39.171:9906/5ea4852100052c6fd83d1a840a5e74b2.ts
TVBS欢乐,P2p://147.135.39.171:9906/5ea13fd1000849aacb76488073a656f2.ts
TVBS,P2p://147.135.39.171:9906/5f2c407d000f150b6c2346e221a0451b.ts
TV9,P2p://147.135.39.171:9906/5e70639e0009c6f70c99cdb9519c473f.ts
TV5,P2p://147.135.39.171:9906/5ede79ff0000518cbaa205571a4f2fa7.ts
TV3,P2p://147.135.39.171:9906/5e70639d0008ef4d0c99c9a23c1832d2.ts
TV2,P2p://147.135.39.171:9906/5cc690ee000ddbabfaedb6fb4a9f251a.ts
TV1,P2p://147.135.39.171:9906/5cc690ef00003d09faedb76859f97961.ts
TV Okey,P2p://147.135.39.171:9906/5f01870b000ba120438d446c25081b53.ts
true4U,P2p://147.135.39.171:9906/5eab17370005651ff1e7c084793a003f.ts
Trans TV HD,P2p://147.135.39.171:9906/5ec63a960000db8e5bea1f1f456d4479.ts
Trans 7 HD,P2p://147.135.39.171:9906/5ec63a95000af2ea5bea1dd75c637b34.ts
Tooniverse,P2p://147.135.39.171:9906/5f2574ef0000750c519820790a837c4b.ts
Toonee,P2p://147.135.39.171:9906/5eab190b0001a5b7f1eee3aa34132ec3.ts
TNN24,P2p://147.135.39.171:9906/5eab1ad30006e303f1f5da420f965349.ts
TLC旅游台,P2p://147.135.39.171:9906/5cc692b800066481faf4b217169a5a1b.ts
Thrill,P2p://147.135.39.171:9906/5ed15ffd0002a6fa87745cbf1c0f1bd0.ts
Thairath TV,P2p://147.135.39.171:9906/5eab1736000eb17ff1e7befd38cd2c9a.ts
Ten 3,P2p://147.135.39.171:9906/5ea1e2fb0003a171cdf3a36721136ab0.ts
